Topic	Difficulty	Source2020S	Source2020W	CompletedBy	QuestionType	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2020-09-25		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[ɾ]		staticpalatography_stop.png							yes
Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2020-09-25		Explain why this is or is not a complete natural class in standard North American English.	[p], [t], [k]							used as example	omit	no; voiceless stops include glottal stop
Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2020-09-25		Explain why this is or is not a complete natural class in standard North American English.	[p], [b]									yes for bilabial plosives; (no) for bilabial stops (nasal?)
Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2020-09-25		Explain why this is or is not a complete natural class in standard North American English.	[f], [s], [ʃ]									no; voiceless fricatives include [θ], [h]
Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2020-09-25		Explain why this is or is not a complete natural class in standard North American English.	[b], [n], [ɡ], [ʒ], [v]									no; lots of other voiced consonants
Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2020-09-25		Explain why this is or is not a complete natural class in standard North American English.	[f], [θ], [z], [h]									no; several fricatives missing
Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2020-09-25		Explain why this is or is not a complete natural class in standard North American English.	[j], [w]									yes for voiced glides; [w̥] missing for glides
Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2020-09-25		Explain why this is or is not a complete natural class in standard North American English.	[ɑ], [u]									no; several back vowels / back monophthongs missing
Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2020-09-25		Explain why this is or is not a complete natural class in standard North American English.	[ɔ], [ʊ], [u], [oʊ]									yes (all back rounded vowels)
Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2020-09-25		Explain why this is or is not a complete natural class in standard North American English.	[i], [u], [eɪ]									no; [oʊ] missing for tense vowels
Other (pre-midterm)	medium	Day 4 Handout, Question 2(iii)			morphology	Explain how you would figure out the meaning of this Swahili word.	[alikusumbua]		swahiliverbs.png							(he/she annoyed you (sg.))
Other (pre-midterm)	medium	Day 4 Handout, Question 2(iii)			morphology	Explain how you would figure out the meaning of this Swahili word.	[tunampenda]		swahiliverbs.png							(we like him/her)
Other (pre-midterm)	medium	Day 4 Handout, Question 2(iii)			morphology	Explain how you would figure out the meaning of this Swahili word.	[umefika]		swahiliverbs.png							(you (sg.) have arrived)
Other (pre-midterm)	medium	Day 4 Handout, Question 2(iii)			morphology	Explain how you would figure out the meaning of this Swahili word.	[watanipiɡa]		swahiliverbs.png							(they will beat me)
Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)			morphology	Explain how you would figure out the Swahili word for this English gloss.	‘I like you (sg.).’		swahiliverbs.png							([ninakupenda])
Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)			morphology	Explain how you would figure out the Swahili word for this English gloss.	‘We have fallen down.’		swahiliverbs.png							([tumeaŋɡuka])
Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)			morphology	Explain how you would figure out the Swahili word for this English gloss.	‘She will beat us.’		swahiliverbs.png							([atatupiga])
Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)			morphology	Explain how you would figure out the Swahili word for this English gloss.	‘You (sg.) are annoying me.’		swahiliverbs.png							([unanisumbua])
Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)			morphology	Explain how you would figure out the Swahili word for this English gloss.	‘They will pay him.’		swahiliverbs.png							([watamlipa])
Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)			morphology	Explain how you would figure out the Swahili word for this English gloss.	‘I wanted them.’		swahiliverbs.png							([niliwataka])
Skewed Distributions	medium	Quiz 3, Question 1				L$_X$ (Language X) has three vowels, [i], [a], and [u]. It has bi-syllabic roots like Kikuyu. It does not allow non-identical high vowels to co-occur. Of the following nine logically possible vocalic sequences, which ones should be unattested in L$_X$? Explain why.	\begin{itemize} \item [i...i] \item [i...a] \item [i...u] \item [a...i] \item [a...a] \item [a...u] \item [u...i] \item [u...a] \item [u...u] \end{itemize}									[i...u], [u...i]
Skewed Distributions	medium	Quiz 3, Question 2				L$_X$ has tri-syllabic roots. If L$_X$ does not allow non-identical high vowels to co-occur, which one of the following tri-syllabic vocalic sequences do you predict to be unattested in L$_X$? Explain why.	\begin{itemize} \item [u...i...a] \item [a...i...a] \item [u...u...a] \item [a...i...i] \end{itemize}									[u...i...a]
Skewed Distributions	medium	Quiz 3, Question 3				L$_X$ has tetra-syllabic roots. If L$_X$ does not allow non-identical high vowels to co-occur, which one of the following tetra-syllabic vocalic sequences do you predict to be unattested in L$_X$? Explain why.	\begin{itemize} \item [i...i...u...u] \item [a...a...i...i] \item [u...u...u...u] \item [i...i...i...a] \end{itemize}							in published sample exam LING200MT_sampleexam1.pdf	omit	[i...i...u...u]
Other (pre-midterm)	medium	Day 4 Handout, Question 3			morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘first person singular subject’ (‘I’)		luiseno.png							([nóo])
Other (pre-midterm)	medium	Day 4 Handout, Question 3			morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘first person plural object’ (‘us’)		luiseno.png							([tʃáami])
Other (pre-midterm)	medium	Day 4 Handout, Question 3			morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘walk’		luiseno.png							([wukála])
Other (pre-midterm)	medium	Day 4 Handout, Question 3			morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘want’		luiseno.png							([vitʃu])
Other (pre-midterm)	medium	Day 4 Handout, Question 3			morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘present tense’		luiseno.png							([q])
Other (pre-midterm)	medium	Day 4 Handout, Question 3			morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘third person masc. object’ (‘him’)		luiseno.png							([pój])
Other (pre-midterm)	medium	Day 4 Handout, Question 3			morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘sun’ (or ‘the sun’)		luiseno.png							([temét])
Other (pre-midterm)	medium	Day 4 Handout, Question 3			morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘drink’		luiseno.png							([páaʔi])
Other (pre-midterm)	medium	Day 4 Handout, Question 3			morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘make / cause’		luiseno.png							([ni])
Other (pre-midterm)	medium	Day 4 Handout, Question 3			morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘Future’		luiseno.png							([n])
Other (pre-midterm)	medium	Day 4 Discussion				Explain what we mean by saying that linguistic patterns are \underline{productive}.										
Phonological Relationships and Analysis	medium	Day 4 Discussion				Explain why we think that languages are not random in terms of their phonology.										
Skewed Distributions	medium	Day 5 Handout, Question 3				What evidence is there that there is a pattern in these data, assuming that these are the only CV and VC sequences that occur in some language?	[sa], [ʃi], [za], [ʒi], [as], [iʃ], [az], [iʒ]									(the palatal sounds occur with the high vowel, while the alveolar sounds occur with the low vowel)
Skewed Distributions	medium	Day 5 Handout, Question 5				How would you look for co-occurrence restrictions between [s] and the vowels that come after it in this dataset?			ukrainian.png							
Skewed Distributions	medium	Day 5 Handout, Question 6				What would be a good description of the pattern in Malto? What characteristics make that a good description?			malto.png					in published sample exam LING200MT_sampleexam1.pdf	omit	It is not possible to have stops of different places of articulation co-occurring in a single word. Instead, if there are two stops, both must be dental, or both must be retroflex. For example, it’s possible to have a word with two dental stops, as in [tot] ‘to hurry’ (even if they disagree in voicing, as in [tind] ‘to feed’), or a word with two retroflex stops, as in [ɖebɖe] ‘crooked’ (again, regardless of voicing, as in [ɖeʈa] ‘corn cob’). But there are no words that have one dental and one retroflex stop, in either order, regardless of voicing. (accurate, generalizations, concrete examples)
Other (pre-midterm)	easy	Quiz 4, Question 1				Explain why the following statement is false.	A phoneme can be defined as the smallest unit of sound that has a meaning.									
Phonological Relationships and Analysis	medium	Quiz 4, Question 5				What phonological relationships does this example show among the sounds [m], [n], and [ŋ], and why?			quiz4question5_a.png							contrast
Phonological Relationships and Analysis	medium	Quiz 4, Question 5				What phonological relationships does this example show among the sounds [m], [n], and [ŋ], and why?			quiz4question5_b.png							allophony
Phonological Relationships and Analysis	medium	Quiz 4, Question 5				What phonological relationships does this example show among the sounds [m], [n], and [ŋ], and why?			quiz4question5_c.png							contrast for [m] and [ŋ], but [n] doesn't occur
Phonological Relationships and Analysis	medium	Quiz 4, Question 5				What phonological relationships does this example show among the sounds [m], [n], and [ŋ], and why?			quiz4question5_d.png							contrast (with a few neutralizations)
Other (pre-midterm)	medium	Homework 2, Question 1			morphology	What would this Klingon phrase below be in English? How do you know?	[pɑdɑq]		klingon.png							‘in/on (the) room’
Other (pre-midterm)	medium	Homework 2, Question 1			morphology	What would this Klingon phrase below be in English? How do you know?	[vɑdʒqʰoqʰvɑm]		klingon.png							‘this so-called warrior’
Other (pre-midterm)	medium	Homework 2, Question 1			morphology	What would this Klingon phrase below be in English? How do you know?	[pɑqqʰoqʰvetɬvo]		klingon.png							‘from that so-called book’
Phonological Relationships and Analysis	medium	Homework 2, Question 2				Why should the following two questions have the same answer?	\begin{itemize} \item Given the vowel system of Jita, how many bi-syllabic root types would you expect to find for nouns in the language? \item Assuming that the vowel inventory is the same in verbs as it is in nouns, how many bisyllabic root types would you expect to find for verbs in the language? \end{itemize}							Decided that jita.png data is not actually necessary for this question.		
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 5				Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[pʰ] and [f]		english_labials.png							contrastive; minimal pair
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 5				Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[pʰ] and [p̚]		english_labials.png							free variation; pronunciation variants
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 6				Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[l] and [ɾ]		korean.png							allophonic; complementary distribution
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7				Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[m] and [n]		canadianfrench.png							contrastive; [mu] ‘soft’ vs. [nu] ‘we’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7				Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[f] and [v]		canadianfrench.png							contrastive; [fo] ‘false’ vs. [vo] ‘calf’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7				Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[k] and [ɡ]		canadianfrench.png							contrastive; NEAR minimal pair; [evOk] ‘evoque’ vs. [vOg] ‘fashion’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7				Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[d] and [n]		canadianfrench.png							contrastive; [do~] ‘donation’ vs. [no~] ‘no’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7				Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[s] and [z]		canadianfrench.png							contrastive; [asyr] ‘assure’ vs. [azyr] ‘azure’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7				Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[o] and [õ]		canadianfrench.png							contrastive; [do~] ‘donation’ vs. [do] ‘back’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 8				Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[t] and [k]		english_child.png					too hard	omit	contrast neutralization
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 9				Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[l] and [ɫ]		english_laterals.png							[l] and [l̴] are allophonic in English. They are in complementary distribution, with [l] occurring before a vowel as in [lif] ‘leaf’ and [slɪm] ‘slim’ (and never after a vowel), and [l̴] occurring after a vowel, as in [fiɫ] ‘feel’ and [kɑɫd] ‘called’ (and never before a vowel).
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 5				Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [pʰ] and [f] are in complementary distribution. [pʰ] occurs after low vowels, as in [kæpʰ] ‘cap,’ while [f] occurs after high vowels, as in [lif] ‘leaf.’		english_labials.png							no; the sounds are contrastive because there are minimal pairs, even though the example given isn't one
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 5				Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [pʰ] and [p̚] are in complementary distribution. [pʰ] occurs after front vowels, as in [kæpʰ] ‘cap,’ while [p̚] occurs after back vowels, as in [tʃɑp̚] ‘chop.’		english_labials.png							no; the sounds are in free variation, because they can be variants of the same word, even though the example given doesn't show this
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 6				Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [l] and [ɾ] are in overlapping distribution. They can both occur after [u], as in [mul] ‘water’ and [muɾe] ‘at the water.’ Thus, we know that these sounds are contrastive.		korean.png							no; the sounds are allophonic, because the following environment is never the same
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 6				Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [l] and [ɾ] are in overlapping distribution, but just occur as pronunciation variants of the same morpheme, as in [mul] ‘water’ and [muɾe] ‘at the water.’ Thus, we know that these sounds are in free variation.		korean.png							no; the sounds are allophonic, because the words are not actually identical -- these have different phonological contexts
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 9				Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [l] and [ɫ] are in complementary distribution. [l] occurs in onset position (before a vowel), but it becomes [ɫ] when it occurs in coda position (after a vowel).		english_laterals.png							no; "becomes" is analytical, not descriptive
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 9				Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [l] and [ɫ] are in complementary distribution. [ɫ] occurs in coda position (after a vowel), but it turns into [l] when it occurs in onset position (before a vowel).		english_laterals.png							no; "turns into" is analytical, not descriptive
Phonological Relationships and Analysis	very hard	Day 6 Handout, Question 11			signlanguage	What do the two signs below tell you about the phonological status of \underline{handshape} in ASL, and why?			asl_apple.png	APPLE	asl_candy.png	CANDY				shows contrast because movement and location are same
Phonological Relationships and Analysis	very hard	Day 6 Handout, Question 11			signlanguage	What do the two signs below tell you about the phonological status of \underline{handshape} in ASL, and why?			asl_stay.png	STAY	asl_awkward.png	AWKWARD				nothing, because both handshape and movement are different
Phonological Relationships and Analysis	very hard	Day 6 Handout, Question 11			signlanguage	What do the two signs below tell you about the phonological status of \underline{handshape} in ASL, and why?			asl_apple.png	APPLE	asl_onion.png	ONION		in published sample exam LING200MT_sampleexam1.pdf	omit	shows contrast, because handshape and movement are the same
Phonological Relationships and Analysis	very hard	Day 6 Handout, Question 11			signlanguage	What do the two signs below tell you about the phonological status of \underline{handshape} in ASL, and why?			asl_apple.png	APPLE	asl_now.png	NOW				nothing, because handshape and location and movement are all also different
Phonological Relationships and Analysis	medium	Quiz 5, Question 2				State what kind of phonological relationship is shown between the sounds [o] and [a] and explain how you know.			peng70ao_a.png							contrast (both occur after [i], [u], [a], and neither occurs after [o]); some neutralization in that [o] can't occur before [a] or [o], but [a] can
Phonological Relationships and Analysis	medium	Quiz 5, Question 2				State what kind of phonological relationship is shown between the sounds [o] and [a] and explain how you know.			peng70ao_b.png							contrast (both occur after [u], [o], [a] and before [o], [a]); neutralized after [i]
Phonological Relationships and Analysis	medium	Quiz 5, Question 2				State what kind of phonological relationship is shown between the sounds [o] and [a] and explain how you know.			peng70ao_c.png							allophony; [o] occurs only next to [o], and [a] occurs nect to any other vowel but not [o]
Phonological Relationships and Analysis	medium	Quiz 5, Question 2				State what kind of phonological relationship is shown between the sounds [o] and [a] and explain how you know.			peng70ao_d.png							contrast (both can occur everywhere -- no neutralization)
Phonological Relationships and Analysis	easy	Quiz 5, Question 10				Explain why the statement below either is or is not a good analysis of the data.	Because [r] and [r̥] are contrastive in English, we cannot write a rule to account for their distribution.		peng71_englishr.png							not a good analysis because the two sounds are in complementary distribution
Phonological Relationships and Analysis	easy	Quiz 5, Question 10				Explain why the statement below either is or is not a good analysis of the data.	We should posit /r/ as the underlying form, and have a rule that devoices it when it occurs after voiceless segments. This analysis is best because it requires only one rule with a single environment to account for all the occurrences of both [r] and [r̥]; the plain [r] sounds result from non-application of the rule.		peng71_englishr.png							a good analysis
Phonological Relationships and Analysis	easy	Quiz 5, Question 10				Explain why the statement below either is or is not a good analysis of the data.	We should posit /r̥/ as the underlying form, and have a rule that voices it when it occurs after voiced segments or word-initially. This analysis is best because it puts the more unusual sound, the voiceless [r̥], into the underlying representation, which has to be memorized anyway.		peng71_englishr.png							not a good analysis, because we want the UR to occur in the MOST environments, not the FEWEST (makes the rule simpler)
Phonological Relationships and Analysis	easy	Quiz 5, Question 10				Explain why the statement below either is or is not a good analysis of the data.	Because [r] and [r̥] are in free variation in English, we cannot write a rule to account for their distribution.		peng71_englishr.png							not a good analysis, because the sounds are in complementary distribution
Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1				Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	/n/ → [m] / \_\_ \{[p], [b]\}									
Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1				Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	/n/ → [ŋ] / \_\_ [velar]									
Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1				Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	[nasal] → [αPlace] / \_\_ [αPlace]									
Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1				Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	[vowel] → [nasal] / [nasal] \_\_									
Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1				Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	[high vowel] →  [unround, front] / [front vowel] C$_0$ \_\_									
Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1				Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	[non-low vowel] →  [lax] / \_\_ C$_0$ [lax vowel]									
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/isɪm/	[high vowel] →  [unround, front] / [front vowel] C$_0$ \_\_ 								applies; no effect
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/ʊsɔm/	[high vowel] →  [unround, front] / [front vowel] C$_0$ \_\_ 								doesn't apply
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/emɛs/	[high vowel] →  [unround, front] / [front vowel] C$_0$ \_\_ 								doesn't apply
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/emus/	[high vowel] →  [unround, front] / [front vowel] C$_0$ \_\_ 								applies; [emis]
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/emos/	[high vowel] →  [unround, front] / [front vowel] C$_0$ \_\_ 								doesn't apply
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/esʊm/	[high vowel] →  [unround, front] / [front vowel] C$_0$ \_\_ 						used as example	omit	applies; [ɛsɪm]
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/imɑm/	[high vowel] →  [unround, front] / [front vowel] C$_0$ \_\_ 								doesn't apply
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/isɪm/	[non-low vowel] →  [lax] / \_\_ C$_0$ [lax vowel]								applies; [ɪsɪm]
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/ʊsɔm/	[non-low vowel] →  [lax] / \_\_ C$_0$ [lax vowel]								applies; no effect
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/emɛs/	[non-low vowel] →  [lax] / \_\_ C$_0$ [lax vowel]								applies; [ɛmɛs]
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/emus/	[non-low vowel] →  [lax] / \_\_ C$_0$ [lax vowel]								doesn't apply
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/emos/	[non-low vowel] →  [lax] / \_\_ C$_0$ [lax vowel]								doesn't apply
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/esʊm/	[non-low vowel] →  [lax] / \_\_ C$_0$ [lax vowel]						used as example	omit	applies; [ɛsʊm]
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2				Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ].	/imɑm/	[non-low vowel] →  [lax] / \_\_ C$_0$ [lax vowel]								doesn't apply (unless [ɑ] treated as lax)
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 4				Explain why this rule is or is not phonetically natural.	``/i/ is realized as [ɪ] when it is preceded by either [ɛ] or [ɔ], and then any number of consonants.''	/i/ → [ɪ] / \{[ɛ], [ɔ]\} C$_0$ \_\_ 						didn't have time to address this in class	omit	
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 7			UR	Explain how you would choose the underlying representation of the phoneme with allophones [s] and [ʃ].			japanese.png							We would probably pick the alveolar version /s/ to be the underlying representation, because it occurs in a wider set of contexts. That way, we can write a single rule to derive the more limited distribution of the palatal, and not need rules to explain any of alveolar occurrences.
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 7			UR	Explain how you would choose the underlying representation of the phoneme with allophones [z] and [dʒ].			japanese.png							We would probably pick the alveolar version /z/ to be the underlying representation, because it occurs in a wider set of contexts. That way, we can write a single rule to derive the more limited distribution of the palatal, and not need rules to explain any of alveolar occurrences.
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 8			UR	Explain how you would choose the underlying representation for the phoneme with allophones [ʊ] and [ɯ].			tamil.png							The phoneme category should be /ʊ/, because it occurs in the wider range of situations – especially when there is no preceding vowel that would condition whether it should be rounded or not. That is, it seems to the be “default” vowel.
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 7				Show one of the derivations for this analysis and explain what each part of it illustrates.			japanese.png					too awkward for exam	omit	
Phonological Relationships and Analysis	medium	Day 7 Handout, Question 8				Show one of the derivations for this analysis and explain what each part of it illustrates.			tamil.png					too awkward for exam	omit	
Phonological Relationships and Analysis	very hard	Day 7 Handout, Question 9				What is the basic analysis of vowel length in this dataset, and what are the key pieces of evidence?			malayalam.png							Short and long vowels appear to be contrastive (phonemic) in Malayalam, as evidenced by minimal pairs that differ only in terms of their vowel length, such as [koʈːa] ‘basket’ vs. [koːʈːa] ‘castle’ or [keʈːu] ‘burnt out’ vs. [keːʈːu] ‘heard.’
Phonological Relationships and Analysis	very hard	Day 7 Handout, Question 11				What is the basic analysis of voiceless stops in this dataset, and what are the key pieces of evidence?			english11.png							Plain and aspirated voiceless stops are in complementary distribution in English. Plain stops occur always and only after [s], as in [speɪs] ‘space,’ while aspirated stops never occur in this context. Meanwhile, aspirated stops occur word-initially (e.g., [phitʃ] ‘peach’) and between vowels (e.g., [əphɑɹt] ‘apart’). Because the two are in complementary distribution, we can always predict which one occurs in any given environment, and so we conclude that they are allophonic, i.e., allophones of the same phoneme category. 
Phonological Relationships and Analysis	very hard	Day 7 Handout, Question 12				What is the basic analysis of oral and nasal vowels in this dataset, and what are the key pieces of evidence?			english12.png							The pairs of sounds [i] and [ĩ], and [u] and [ũ], are each allophonic and therefore allophones of the same phoneme in English (though the two pairs represent two contrastive phonemes in English). The sounds [i] and [ĩ] are in complementary distribution in English, with [ĩ] occurring before the sounds [m] and [n], (e.g., [ɡlĩm] ‘gleam’ and [klĩn] ‘clean’) and [i] occurring elsewhere (e.g., [lip] ‘leap’). Similarly, the sounds [u] and [ũ] are also in complementary distribution, with exactly the same conditioning environments: [ũ] occurs before [m] and [n] (e.g., [dũm] ‘doom’ and [dũn] ‘dune’), and [u] occurs elsewhere (e.g. [but] ‘boot’). Thus, within each pair, we treat the vowels as allophonic. 
Acoustics	hard	Quiz 6, Question 1				Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_shoe.png							shoe: fricative noise at mid-frequency; no voice bar; vowel formants that suggest low F1 (high V) and low F2 (back V)
Acoustics	hard	Quiz 6, Question 2				Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_hippo.png							hippo: stop in middle indicated by silence / white space; vowels on either side; V1 has low F1 and high F2 (=high front V) and V2 has higher F1 and lower F2 (=mid to low backer vowel)
Acoustics	hard	Day 8 Handout, Question 3				Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_aaah.png							aaah: just a vowel; formants are very steady; F1 and F2 are pretty close to each other; F1 somewhat high and F2 somewhat low
Acoustics	hard	Day 8 Handout, Question 3				Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_you.png							you: clear formants, but starts with something like a glide because fainter; diphthong or changing values; F1 pretty constantly low (=high V); F2 starts high and goes low (=front to back)
Acoustics	hard	Day 8 Handout, Question 3				Explain what you see in the spectrogram that tells you about the properties of the sounds in the pictured word.			spectrogram_I.png							I: clear formants; all dark, so just a vowel; changes so a diphthong; F1 pretty high and then falls a bit (=starts as low V and goes higher); F2 starts pretty low and then goes up (=starts as back V and goes fronter)
