UniqueID	Topic	Difficulty	Source2020S	Source2020W	Source2021S	DateCompleted	QuestionType(s)	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
QU1601510764191	Other (pre-midterm)	medium	Day 4 Handout, Question 2(iii)	Week 4 Handout, Part II, Question 2(iii)	Day 3 Handout, Question 2(iii)	2021-06-01	morphology	Explain how you would figure out the meaning of this Swahili word. (To be clear: you do NOT necessarily need to give me the meaning itself -- just explain the process of figuring it out.)	[alikusumbua]		swahiliverbs.png							(he/she annoyed you (sg.))
QU1601510765108	Other (pre-midterm)	medium	Day 4 Handout, Question 2(iii)	Week 4 Handout, Part II, Question 2(iii)	Day 3 Handout, Question 2(iii)	2021-06-01	morphology	Explain how you would figure out the meaning of this Swahili word. (To be clear: you do NOT necessarily need to give me the meaning itself -- just explain the process of figuring it out.)	[tunampenda]		swahiliverbs.png							(we like him/her)
QU1601510765572	Other (pre-midterm)	medium	Day 4 Handout, Question 2(iii)	Week 4 Handout, Part II, Question 2(iii)	Day 3 Handout, Question 2(iii)	2021-06-01	morphology	Explain how you would figure out the meaning of this Swahili word. (To be clear: you do NOT necessarily need to give me the meaning itself -- just explain the process of figuring it out.)	[umefika]		swahiliverbs.png							(you (sg.) have arrived)
QU1601510766302	Other (pre-midterm)	medium	Day 4 Handout, Question 2(iii)	Week 4 Handout, Part II, Question 2(iii)	Day 3 Handout, Question 2(iii)	2021-06-01	morphology	Explain how you would figure out the meaning of this Swahili word. (To be clear: you do NOT necessarily need to give me the meaning itself -- just explain the process of figuring it out.)	[watanipiɡa]		swahiliverbs.png							(they will beat me)
QU1601510766964	Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)	Week 4 Handout, Part II, Question 2(iv)	Day 3 Handout, Question 2(iv)	2021-06-01	morphology	Explain how you would figure out the Swahili word for this English gloss. (To be clear: you do NOT necessarily need to give me the Swahili form itself -- just explain the process of figuring it out.)	‘I like you (sg.).’		swahiliverbs.png							([ninakupenda])
QU1601510767808	Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)	Week 4 Handout, Part II, Question 2(iv)	Day 3 Handout, Question 2(iv)	2021-06-01	morphology	Explain how you would figure out the Swahili word for this English gloss. (To be clear: you do NOT necessarily need to give me the Swahili form itself -- just explain the process of figuring it out.)	‘We have fallen down.’		swahiliverbs.png							([tumeaŋɡuka])
QU1601510768482	Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)	Week 4 Handout, Part II, Question 2(iv)	Day 3 Handout, Question 2(iv)	2021-06-01	morphology	Explain how you would figure out the Swahili word for this English gloss. (To be clear: you do NOT necessarily need to give me the Swahili form itself -- just explain the process of figuring it out.)	‘She will beat us.’		swahiliverbs.png							([atatupiga])
QU1601510769045	Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)	Week 4 Handout, Part II, Question 2(iv)	Day 3 Handout, Question 2(iv)	2021-06-01	morphology	Explain how you would figure out the Swahili word for this English gloss. (To be clear: you do NOT necessarily need to give me the Swahili form itself -- just explain the process of figuring it out.)	‘You (sg.) are annoying me.’		swahiliverbs.png							([unanisumbua])
QU1601510769558	Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)	Week 4 Handout, Part II, Question 2(iv)	Day 3 Handout, Question 2(iv)	2021-06-01	morphology	Explain how you would figure out the Swahili word for this English gloss. (To be clear: you do NOT necessarily need to give me the Swahili form itself -- just explain the process of figuring it out.)	‘They will pay him.’		swahiliverbs.png							([watamlipa])
QU1601510770196	Other (pre-midterm)	medium	Day 4 Handout, Question 2(iv)	Week 4 Handout, Part II, Question 2(iv)	Day 3 Handout, Question 2(iv)	2021-06-01	morphology	Explain how you would figure out the Swahili word for this English gloss. (To be clear: you do NOT necessarily need to give me the Swahili form itself -- just explain the process of figuring it out.)	‘I wanted them.’		swahiliverbs.png							([niliwataka])
QU1601510772842	Other (pre-midterm)	medium	Day 4 Handout, Question 3	Week 4 Handout, Part II, Question 3	Day 3 Handout, Question 3	2021-06-01	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)	‘first person singular subject’ (‘I’)		luiseno.png							([nóo])
QU1601510773627	Other (pre-midterm)	medium	Day 4 Handout, Question 3	Week 4 Handout, Part II, Question 3	Day 3 Handout, Question 3	2021-06-01	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)	‘first person plural object’ (‘us’)		luiseno.png							([tʃáami])
QU1601510774107	Other (pre-midterm)	medium	Day 4 Handout, Question 3	Week 4 Handout, Part II, Question 3	Day 3 Handout, Question 3	2021-06-01	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)	‘walk’		luiseno.png							([wukála])
QU1601510774620	Other (pre-midterm)	medium	Day 4 Handout, Question 3	Week 4 Handout, Part II, Question 3	Day 3 Handout, Question 3	2021-06-01	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)	‘want’		luiseno.png							([vitʃu])
QU1601510775442	Other (pre-midterm)	medium	Day 4 Handout, Question 3	Week 4 Handout, Part II, Question 3	Day 3 Handout, Question 3	2021-06-01	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)	‘present tense’		luiseno.png							([q])
QU1601510776143	Other (pre-midterm)	medium	Day 4 Handout, Question 3	Week 4 Handout, Part II, Question 3	Day 3 Handout, Question 3	2021-06-01	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)	‘third person masc. object’ (‘him’)		luiseno.png							([pój])
QU1601510776873	Other (pre-midterm)	medium	Day 4 Handout, Question 3	Week 4 Handout, Part II, Question 3	Day 3 Handout, Question 3	2021-06-01	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)	‘sun’ (or ‘the sun’)		luiseno.png							([temét])
QU1601510777551	Other (pre-midterm)	medium	Day 4 Handout, Question 3	Week 4 Handout, Part II, Question 3	Day 3 Handout, Question 3	2021-06-01	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)	‘drink’		luiseno.png							([páaʔi])
QU1601510778398	Other (pre-midterm)	medium	Day 4 Handout, Question 3	Week 4 Handout, Part II, Question 3	Day 3 Handout, Question 3	2021-06-01	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)	‘make / cause’		luiseno.png							([ni])
QU1601510779053	Other (pre-midterm)	medium	Day 4 Handout, Question 3	Week 4 Handout, Part II, Question 3	Day 3 Handout, Question 3	2021-06-01	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)	‘Future’		luiseno.png							([n])
QU1601669690516	Other (pre-midterm)	medium	n/a	Week 4 Handout, Part II, Question 4	Day 3 Handout, Question 4	2021-06-01	morphology, signlanguage	Explain how you could do morphological analysis on a signed language.										
QU1601510779701	Other (pre-midterm)	hard	Day 4 Discussion	Week 5 Handout, Question 0	Day 3 Handout, Question 5	2021-06-01	general	Explain what we mean by saying that linguistic patterns are \underline{productive}.										
QU1601510786246	Other (pre-midterm)	easy	Quiz 4, Question 1	Quiz 5, Question 1	Quiz 4, Question 1	2021-06-01	general	Explain why the following statement is false.	A phoneme can be defined as the smallest unit of sound that has a meaning.									
QU1601510789462	Other (pre-midterm)	medium	Homework 2, Question 1	Homework 2, Question 2	Homework 2, Question 1	2021-06-01	morphology	What would this Klingon phrase below be in English? How do you know?	[pɑdɑq]		klingon.png							‘in/on (the) room’
QU1601510790164	Other (pre-midterm)	medium	Homework 2, Question 1	Homework 2, Question 2	Homework 2, Question 1	2021-06-01	morphology	What would this Klingon phrase below be in English? How do you know?	[vɑdʒqʰoqʰvɑm]		klingon.png							‘this so-called warrior’
QU1601510790980	Other (pre-midterm)	medium	Homework 2, Question 1	Homework 2, Question 2	Homework 2, Question 1	2021-06-01	morphology	What would this Klingon phrase below be in English? How do you know?	[pɑqqʰoqʰvetɬvo]		klingon.png							‘from that so-called book’
QU1602831629136	Other (pre-midterm)	hard	n/a	Week 5 \& 6 Handouts	Day 4 \& 6 Handouts	2021-06-01	general	Explain how you could analyze this dataset in terms of sequential patterns vs. paradigmatic patterns.			ukrainian.png							
QU1601510788768	Phonological Relationships and Analysis	medium	Quiz 4, Question 5	Quiz 5, Question 5	Quiz 4, Question 5	2021-06-01		What phonological relationship(s) does this example show among the sounds [m], [n], and [ŋ], and why?			quiz4question5_d.png							contrast (with a few neutralizations)
QU1601510791550	Phonological Relationships and Analysis	medium	Homework 2, Question 2	Homework 2, Question 3	Homework 2, Question 2	2021-06-01		Why should the following two questions have the same answer?	\begin{itemize} \item Given the vowel system of Jita, how many bi-syllabic root types would you expect to find for nouns in the language? \item Assuming that the vowel inventory is the same in verbs as it is in nouns, how many bisyllabic root types would you expect to find for verbs in the language? \end{itemize}							Decided that jita.png data is not actually necessary for this question.		
QU1601510792191	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 5	Week 6 Handout, Question 5	Day 6 Handout, Question 5	2021-06-01		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[pʰ] and [f]		english_labials.png							contrastive; minimal pair
QU1601510792819	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 5	Week 6 Handout, Question 5	Day 6 Handout, Question 5	2021-06-01		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[pʰ] and [p̚]		english_labials.png							free variation; pronunciation variants
QU1601510793495	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 6	Week 6 Handout, Question 6	Day 6 Handout, Question 6	2021-06-01		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[l] and [ɾ]		korean.png							allophonic; complementary distribution
QU1601510794887	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7	Week 6 Handout, Question 7	Day 6 Handout, Question 7	2021-06-01		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[m] and [n]		canadianfrench.png							contrastive; [mu] ‘soft’ vs. [nu] ‘we’
QU1601510795177	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7	Week 6 Handout, Question 7	Day 6 Handout, Question 7	2021-06-01		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[f] and [v]		canadianfrench.png							contrastive; [fo] ‘false’ vs. [vo] ‘calf’
QU1601510795658	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7	Week 6 Handout, Question 7	Day 6 Handout, Question 7	2021-06-01		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[k] and [ɡ]		canadianfrench.png							contrastive; NEAR minimal pair; [evOk] ‘evoque’ vs. [vOg] ‘fashion’
QU1601510796204	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7	Week 6 Handout, Question 7	Day 6 Handout, Question 7	2021-06-01		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[d] and [n]		canadianfrench.png							contrastive; [do~] ‘donation’ vs. [no~] ‘no’
QU1601510796832	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7	Week 6 Handout, Question 7	Day 6 Handout, Question 7	2021-06-01		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[s] and [z]		canadianfrench.png							contrastive; [asyr] ‘assure’ vs. [azyr] ‘azure’
QU1601510797571	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7	Week 6 Handout, Question 7	Day 6 Handout, Question 7	2021-06-01		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[o] and [õ]		canadianfrench.png							contrastive; [do~] ‘donation’ vs. [do] ‘back’
QU1601510798159	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 8	Week 6 Handout, Question 8	Day 6 Handout, Question 8	2021-06-01		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[t] and [k]		english_child.png					too hard	omit	contrast neutralization
QU1601510798727	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 9	Week 6 Handout, Question 9	Day 6 Handout, Question 9	2021-06-01		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[l] and [ɫ]		english_laterals.png							[l] and [l̴] are allophonic in English. They are in complementary distribution, with [l] occurring before a vowel as in [lif] ‘leaf’ and [slɪm] ‘slim’ (and never after a vowel), and [l̴] occurring after a vowel, as in [fiɫ] ‘feel’ and [kɑɫd] ‘called’ (and never before a vowel).
QU1601510799497	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 5	Week 6 Handout, Question 5	Day 6 Handout, Question 5	2021-06-01	description	Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [pʰ] and [f] are in complementary distribution. [pʰ] occurs after low vowels, as in [kæpʰ] ‘cap,’ while [f] occurs after high vowels, as in [lif] ‘leaf.’		english_labials.png							no; the sounds are contrastive because there are minimal pairs, even though the example given isn't one
QU1601510800029	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 5	Week 6 Handout, Question 5	Day 6 Handout, Question 5	2021-06-01	description	Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [pʰ] and [p̚] are in complementary distribution. [pʰ] occurs after front vowels, as in [kæpʰ] ‘cap,’ while [p̚] occurs after back vowels, as in [tʃɑp̚] ‘chop.’		english_labials.png							no; the sounds are in free variation, because they can be variants of the same word, even though the example given doesn't show this
QU1601510800764	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 6	Week 6 Handout, Question 6	Day 6 Handout, Question 6	2021-06-01	description	Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [l] and [ɾ] are in overlapping distribution. They can both occur after [u], as in [mul] ‘water’ and [muɾe] ‘at the water.’ Thus, we know that these sounds are contrastive.		korean.png							no; the sounds are allophonic, because the following environment is never the same
QU1601510801386	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 6	Week 6 Handout, Question 6	Day 6 Handout, Question 6	2021-06-01	description	Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [l] and [ɾ] are in overlapping distribution, but just occur as pronunciation variants of the same morpheme, as in [mul] ‘water’ and [muɾe] ‘at the water.’ Thus, we know that these sounds are in free variation.		korean.png							no; the sounds are allophonic, because the words are not actually identical -- these have different phonological contexts
QU1601510802095	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 9	Week 6 Handout, Question 9	Day 6 Handout, Question 9	2021-06-01	description	Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [l] and [ɫ] are in complementary distribution. [l] occurs in onset position (before a vowel), but it becomes [ɫ] when it occurs in coda position (after a vowel).		english_laterals.png							no; "becomes" is analytical, not descriptive
QU1601510802801	Phonological Relationships and Analysis	medium	Day 6 Handout, Question 9	Week 6 Handout, Question 9	Day 6 Handout, Question 9	2021-06-01	description	Is the statement given below a good description of the distribution of sounds in this dataset? Why or why not?	The sounds [l] and [ɫ] are in complementary distribution. [ɫ] occurs in coda position (after a vowel), but it turns into [l] when it occurs in onset position (before a vowel).		english_laterals.png							no; "turns into" is analytical, not descriptive
QU1601510803488	Phonological Relationships and Analysis	very hard	Day 6 Handout, Question 11	Week 6 Handout, Question 11	Day 6 Handout, Question 11	2021-06-01	signlanguage	What do the two signs below tell you about the phonological status of \underline{handshape} in ASL, and why?			asl_apple.png	APPLE	asl_candy.png	CANDY				shows contrast because movement and location are same
QU1601510804266	Phonological Relationships and Analysis	very hard	Day 6 Handout, Question 11	Week 6 Handout, Question 11	Day 6 Handout, Question 11	2021-06-01	signlanguage	What do the two signs below tell you about the phonological status of \underline{handshape} in ASL, and why?			asl_stay.png	STAY	asl_awkward.png	AWKWARD				nothing, because both handshape and movement are different
QU1601510804948	Phonological Relationships and Analysis	very hard	Day 6 Handout, Question 11	Week 6 Handout, Question 11	Day 6 Handout, Question 11	2021-06-01	signlanguage	What do the two signs below tell you about the phonological status of \underline{handshape} in ASL, and why?			asl_apple.png	APPLE	asl_onion.png	ONION				shows contrast, because handshape and movement are the same
QU1601510805746	Phonological Relationships and Analysis	very hard	Day 6 Handout, Question 11	Week 6 Handout, Question 11	Day 6 Handout, Question 11	2021-06-01	signlanguage	What do the two signs below tell you about the phonological status of \underline{handshape} in ASL, and why?			asl_apple.png	APPLE	asl_now.png	NOW				nothing, because handshape and location and movement are all also different
QU1601510806518	Phonological Relationships and Analysis	medium	Quiz 5, Question 2	Quiz 6, Question 2	Quiz 5, Question 2	2021-06-01		State what kind of phonological relationship is shown between the sounds [o] and [a] and explain how you know.			peng70ao_a.png							contrast (both occur after [i], [u], [a], and neither occurs after [o]); some neutralization in that [o] can't occur before [a] or [o], but [a] can
QU1601510807226	Phonological Relationships and Analysis	medium	Quiz 5, Question 2	Quiz 6, Question 2	Quiz 5, Question 2	2021-06-01		State what kind of phonological relationship is shown between the sounds [o] and [a] and explain how you know.			peng70ao_b.png							contrast (both occur after [u], [o], [a] and before [o], [a]); neutralized after [i]
QU1601510807645	Phonological Relationships and Analysis	medium	Quiz 5, Question 2	Quiz 6, Question 2	Quiz 5, Question 2	2021-06-01		State what kind of phonological relationship is shown between the sounds [o] and [a] and explain how you know.			peng70ao_c.png							allophony; [o] occurs only next to [o], and [a] occurs nect to any other vowel but not [o]
QU1601510808364	Phonological Relationships and Analysis	medium	Quiz 5, Question 2	Quiz 6, Question 2	Quiz 5, Question 2	2021-06-01		State what kind of phonological relationship is shown between the sounds [o] and [a] and explain how you know.			peng70ao_d.png							contrast (both can occur everywhere -- no neutralization)
QU1601510809094	Phonological Relationships and Analysis	easy	Quiz 5, Question 10	Quiz 6, Question 10	Quiz 5, Question 10	2021-06-01	analysis	Explain why the statement below either is or is not a good analysis of the data.	Because [r] and [r̥] are contrastive in English, we cannot write a rule to account for their distribution.		peng71_englishr.png							not a good analysis because the two sounds are in complementary distribution
QU1601510809670	Phonological Relationships and Analysis	easy	Quiz 5, Question 10	Quiz 6, Question 10	Quiz 5, Question 10	2021-06-01	analysis	Explain why the statement below either is or is not a good analysis of the data.	We should posit /r/ as the underlying form, and have a rule that devoices it when it occurs after voiceless segments. This analysis is best because it requires only one rule with a single environment to account for all the occurrences of both [r] and [r̥]; the plain [r] sounds result from non-application of the rule.		peng71_englishr.png							a good analysis
QU1601510810712	Phonological Relationships and Analysis	easy	Quiz 5, Question 10	Quiz 6, Question 10	Quiz 5, Question 10	2021-06-01	analysis	Explain why the statement below either is or is not a good analysis of the data.	We should posit /r̥/ as the underlying form, and have a rule that voices it when it occurs after voiced segments or word-initially. This analysis is best because it puts the more unusual sound, the voiceless [r̥], into the underlying representation, which has to be memorized anyway.		peng71_englishr.png							not a good analysis, because we want the UR to occur in the MOST environments, not the FEWEST (makes the rule simpler)
QU1601510811180	Phonological Relationships and Analysis	easy	Quiz 5, Question 10	Quiz 6, Question 10	Quiz 5, Question 10	2021-06-01	analysis	Explain why the statement below either is or is not a good analysis of the data.	Because [r] and [r̥] are in free variation in English, we cannot write a rule to account for their distribution.		peng71_englishr.png							not a good analysis, because the sounds are in complementary distribution
QU1601510811477	Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1	Week 7 Handout, Question 1	Day 7 Handout, Question 1	2021-06-01		Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	/n/ → [m] / \_\_ \{[p], [b]\}									
QU1601510811962	Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1	Week 7 Handout, Question 1	Day 7 Handout, Question 1	2021-06-01		Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	/n/ → [ŋ] / \_\_ [velar]									
QU1601510812635	Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1	Week 7 Handout, Question 1	Day 7 Handout, Question 1	2021-06-01		Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	[nasal] → [αPlace] / \_\_ [αPlace]									
QU1601510813299	Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1	Week 7 Handout, Question 1	Day 7 Handout, Question 1	2021-06-01		Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	[vowel] → [nasal] / [nasal] \_\_									
QU1601510813758	Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1	Week 7 Handout, Question 1	Day 7 Handout, Question 1	2021-06-01		Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	[high vowel] →  [unround, front] / [front vowel] C$_0$ \_\_									
QU1601510814292	Phonological Relationships and Analysis	easy	Day 7 Handout, Question 1	Week 7 Handout, Question 1	Day 7 Handout, Question 1	2021-06-01		Explain what the rule below does and suggest a name for it, explaining why that would be a good name.	[non-low vowel] →  [lax] / \_\_ C$_0$ [lax vowel]									
QU1601510814790	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/isɪm/	[+syllabic, +high] --> [-round, -back] / [+syllabic, -back] C$_0$ \_\_						features	omit	applies; no effect
QU1601510815425	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/ʊsɔm/	[+syllabic, +high] --> [-round, -back] / [+syllabic, -back] C$_0$ \_\_						features	omit	doesn't apply
QU1601510816223	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/emɛs/	[+syllabic, +high] --> [-round, -back] / [+syllabic, -back] C$_0$ \_\_						features	omit	doesn't apply
QU1601510816470	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/emus/	[+syllabic, +high] --> [-round, -back] / [+syllabic, -back] C$_0$ \_\_						features	omit	applies; [emis]
QU1601510816965	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/emos/	[+syllabic, +high] --> [-round, -back] / [+syllabic, -back] C$_0$ \_\_						features	omit	doesn't apply
QU1601510817609	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/esʊm/	[+syllabic, +high] --> [-round, -back] / [+syllabic, -back] C$_0$ \_\_						features	omit	applies; [ɛsɪm]
QU1601510817998	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/imɑm/	[+syllabic, +high] --> [-round, -back] / [+syllabic, -back] C$_0$ \_\_						features	omit	doesn't apply
QU1601510818528	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/isɪm/	[+syllabic, -low] --> [-tense] / \_\_ C$_0$ [+syllabic, -tense]						features	omit	applies; [ɪsɪm]
QU1601510819072	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/ʊsɔm/	[+syllabic, -low] --> [-tense] / \_\_ C$_0$ [+syllabic, -tense]						features	omit	applies; no effect
QU1601510819467	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/emɛs/	[+syllabic, -low] --> [-tense] / \_\_ C$_0$ [+syllabic, -tense]						features	omit	applies; [ɛmɛs]
QU1601510819936	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/emus/	[+syllabic, -low] --> [-tense] / \_\_ C$_0$ [+syllabic, -tense]						features	omit	doesn't apply
QU1601510820389	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/emos/	[+syllabic, -low] --> [-tense] / \_\_ C$_0$ [+syllabic, -tense]						features	omit	doesn't apply
QU1601510820838	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/esʊm/	[+syllabic, -low] --> [-tense] / \_\_ C$_0$ [+syllabic, -tense]						features	omit	applies; [ɛsʊm]
QU1601510821314	Phonological Relationships and Analysis	medium	n/a	Week 7 Handout, Question 2	n/a	2021-06-01		Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.	/imɑm/	[+syllabic, -low] --> [-tense] / \_\_ C$_0$ [+syllabic, -tense]						features	omit	doesn't apply (unless [ɑ] treated as lax)
